City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amaravati,2019-04-19,11.55,37.66,3.35,13.27,9.6,7.05,0.59,12.58,26.46,0.19,2.64,0.12,82.0,Satisfactory
Visakhapatnam,2019-11-01,78.9,144.14,22.21,40.43,39.56,17.77,1.06,18.88,33.46,5.51,12.84,2.68,163.0,Moderate
Hyderabad,2018-09-17,35.58,61.65,4.05,22.67,14.98,18.61,0.41,8.41,24.49,1.45,9.79,1.23,85.0,Satisfactory
Hyderabad,2015-11-07,86.87,105.81,8.71,14.84,21.55,11.96,0.93,11.36,32.53,1.47,11.41,0.75,206.0,Poor
Patna,2020-05-30,27.46,104.21,27.16,20.22,18.18,6.83,0.44,7.28,51.12,1.65,2.38,1.54,104.0,Moderate
Delhi,2019-03-23,55.62,138.56,8.76,34.57,27.32,26.54,0.89,17.52,52.24,2.27,14.11,0.25,131.0,Moderate
Delhi,2017-10-03,69.45,127.48,22.75,26.09,11.47,31.36,0.2,5.81,34.34,0.24,1.27,0.1,115.0,Moderate
Visakhapatnam,2020-05-18,11.18,36.23,1.47,18.69,10.97,6.78,0.11,7.87,18.33,1.51,8.55,0.88,26.0,Good
Delhi,2018-11-24,107.73,223.33,26.91,46.57,50.88,36.97,1.34,15.12,37.48,3.33,30.31,0.99,296.0,Poor
Hyderabad,2017-04-01,44.15,117.72,9.09,30.98,8.99,14.2,0.14,6.09,59.95,0.08,0.86,0.4,136.0,Moderate
Amritsar,2017-12-10,102.19,198.88,33.67,18.62,52.28,2.49,3.83,7.07,19.06,9.15,10.31,17.46,277.0,Poor
Delhi,2018-08-06,50.64,131.76,19.28,26.59,32.23,45.36,0.9,9.4,27.42,1.44,22.79,0.49,166.0,Moderate
Chandigarh,2019-11-30,55.52,105.75,27.53,10.22,27.17,5.0,0.77,10.78,8.14,7.55,0.45,0.17,92.0,Satisfactory
Amaravati,2019-06-08,31.95,71.15,2.87,26.2,16.27,7.52,0.58,17.18,55.48,0.03,1.32,0.14,71.0,Satisfactory
Hyderabad,2018-07-06,20.05,48.6,4.7,26.0,17.26,11.89,0.3,5.06,18.73,1.08,8.65,8.65,49.0,Good
Hyderabad,2018-04-08,30.27,61.55,4.55,35.94,22.43,21.88,0.67,5.05,44.24,0.85,3.51,2.84,85.0,Satisfactory
Amritsar,2019-12-26,58.57,84.32,10.44,10.62,20.2,4.87,0.8,6.96,46.13,1.69,1.65,1.96,91.0,Satisfactory
Delhi,2018-09-19,58.63,175.12,26.29,37.36,40.98,26.44,0.89,13.43,40.04,2.12,27.54,0.0,157.0,Moderate
Hyderabad,2017-01-11,82.34,168.93,11.85,49.71,14.9,19.45,0.0,29.68,49.64,0.09,1.78,2.41,163.0,Moderate
Hyderabad,2017-03-12,43.8,146.18,11.64,41.87,12.69,15.42,0.16,22.58,44.15,0.16,1.75,0.53,117.0,Moderate
Hyderabad,2019-09-10,14.98,39.67,2.63,13.26,7.91,7.77,0.31,6.41,16.46,0.08,0.6,0.05,39.0,Good
Hyderabad,2018-07-02,16.48,42.25,3.82,24.21,15.61,9.17,0.24,5.74,23.96,0.43,3.89,0.29,53.0,Satisfactory
Delhi,2020-04-15,58.31,190.98,10.37,24.55,24.05,28.36,0.93,14.89,38.22,2.36,11.89,0.02,152.0,Moderate
Visakhapatnam,2019-07-16,41.9,130.91,16.51,49.44,39.72,8.12,0.95,5.05,13.19,8.1,20.31,3.74,106.0,Moderate
Amritsar,2019-08-27,36.3,63.21,14.22,9.14,22.63,11.17,0.55,6.49,18.33,2.49,1.13,2.0,68.0,Satisfactory
Hyderabad,2019-08-04,6.24,12.61,2.92,12.57,8.68,4.28,0.3,5.03,17.5,1.28,0.98,0.02,36.0,Good
Visakhapatnam,2019-06-03,29.74,101.8,17.14,44.6,37.79,3.6,0.9,6.22,19.75,4.76,10.42,4.77,97.0,Satisfactory
Amritsar,2020-03-14,21.05,70.22,18.49,11.98,28.28,11.71,0.7,12.75,32.14,1.38,1.7,1.98,69.0,Satisfactory
Kolkata,2019-06-19,50.99,92.07,3.23,24.86,27.94,4.01,0.52,2.0,42.01,20.92,7.71,3.58,95.0,Satisfactory
Hyderabad,2018-05-11,32.76,80.97,2.6,31.48,18.67,13.05,0.66,6.44,50.78,1.14,5.51,1.18,95.0,Satisfactory
